Notes	ManualCheck	MergeInto	RenameEntitySet	KeyParamGroup	EntitySet	ParamGroup	ArterialSpinLabelingType	Cluster_EchoTime	Cluster_EffectiveEchoSpacing	Cluster_RepetitionTime	Cluster_TotalReadoutTime	Cluster_VoxelSizeDim1	Cluster_VoxelSizeDim2	Cluster_VoxelSizeDim3	Counts	Dim1Size	Dim2Size	Dim3Size	EchoTime	EffectiveEchoSpacing	EntitySetCount	FlipAngle	HasFieldmap	ImageOrientation	M0Type	Modality	MultibandAccelerationFactor	NSliceTimes	NumVolumes	Obliquity	ParallelReductionFactorInPlane	PartialFourier	PhaseEncodingDirection	RepetitionTime	TotalReadoutTime	UsedAsFieldmap	VoxelSizeDim1	VoxelSizeDim2	VoxelSizeDim3
				datatype-anat_run-02_suffix-minIP_acquisition-coronal__1	datatype-anat_run-02_suffix-minIP_acquisition-coronal	1		0.0		0.0		0.0	0.0	0.0	4	288	76	1	0.00366		4	18	False	LSP+		anat		0	1	False		0.75		0.022		False	0.5208330154418945	0.5208330154418945	200.0
				datatype-anat_run-02_suffix-minIP_acquisition-sagittal__1	datatype-anat_run-02_suffix-minIP_acquisition-sagittal	1		0.0		0.0		0.0	0.0	0.0	4	384	76	1	0.00366		4	18	False	PSR+		anat		0	1	False		0.75		0.022		False	0.5208330154418945	0.5208330154418945	150.0
				datatype-anat_run-01_suffix-T2w__1	datatype-anat_run-01_suffix-T2w	1									1	176	256	256	0.408		1	120	False	RAS+		anat		0	1	False	2.0	1.0	i	3.2		False	1.0	0.9765629768371582	0.9765629768371582
				datatype-anat_run-01_suffix-angio_acquisition-VARIANTParallelReductionFactorInPlane2p0Dim3Size74__1	datatype-anat_run-01_suffix-angio_acquisition-VARIANTParallelReductionFactorInPlane2p0Dim3Size74	1									1	288	384	74	0.00366		1	18	False	RAS+		anat		0	1	False	2.0	0.75		0.022		False	0.5208330154418945	0.5208330154418945	1.0
				datatype-anat_run-01_suffix-angio_acquisition-VARIANTRepetitionTimeC1__1	datatype-anat_run-01_suffix-angio_acquisition-VARIANTRepetitionTimeC1	1									1	288	384	40	0.00366		1	18	False	RAS+		anat		0	1	False		0.75		0.034		False	0.5208330154418945	0.5208330154418945	1.0
				datatype-anat_run-01_suffix-minIP_acquisition-axialVARIANTParallelReductionFactorInPlane2p0VoxelSizeDim3C1__1	datatype-anat_run-01_suffix-minIP_acquisition-axialVARIANTParallelReductionFactorInPlane2p0VoxelSizeDim3C1	1									1	288	384	1	0.00366		1	18	False	LAS+		anat		0	1	False	2.0	0.75		0.022		False	0.5208330154418945	0.5208330154418945	34.0
				datatype-anat_run-01_suffix-minIP_acquisition-axialVARIANTRepetitionTimeC1__1	datatype-anat_run-01_suffix-minIP_acquisition-axialVARIANTRepetitionTimeC1	1									1	288	384	1	0.00366		1	18	False	LAS+		anat		0	1	False		0.75		0.034		False	0.5208330154418945	0.5208330154418945	40.0
				datatype-anat_run-01_suffix-minIP_acquisition-coronalVARIANTParallelReductionFactorInPlane2p0Dim2Size142VoxelSizeDim3C1__1	datatype-anat_run-01_suffix-minIP_acquisition-coronalVARIANTParallelReductionFactorInPlane2p0Dim2Size142VoxelSizeDim3C1	1									1	288	142	1	0.00366		1	18	False	LSP+		anat		0	1	False	2.0	0.75		0.022		False	0.5208330154418945	0.5208330154418945	34.0
				datatype-anat_run-01_suffix-minIP_acquisition-coronalVARIANTRepetitionTimeC1__1	datatype-anat_run-01_suffix-minIP_acquisition-coronalVARIANTRepetitionTimeC1	1									1	288	76	1	0.00366		1	18	False	LSP+		anat		0	1	False		0.75		0.034		False	0.5208330154418945	0.5208330154418945	200.0
				datatype-anat_run-01_suffix-minIP_acquisition-sagittalVARIANTParallelReductionFactorInPlane2p0Dim2Size142VoxelSizeDim3C1__1	datatype-anat_run-01_suffix-minIP_acquisition-sagittalVARIANTParallelReductionFactorInPlane2p0Dim2Size142VoxelSizeDim3C1	1									1	384	142	1	0.00366		1	18	False	PSR+		anat		0	1	False	2.0	0.75		0.022		False	0.5208330154418945	0.5208330154418945	34.0
				datatype-anat_run-01_suffix-minIP_acquisition-sagittalVARIANTRepetitionTimeC1__1	datatype-anat_run-01_suffix-minIP_acquisition-sagittalVARIANTRepetitionTimeC1	1									1	384	76	1	0.00366		1	18	False	PSR+		anat		0	1	False		0.75		0.034		False	0.5208330154418945	0.5208330154418945	150.0
				datatype-anat_run-02_suffix-T2w__1	datatype-anat_run-02_suffix-T2w	1									1	176	256	256	0.408		1	120	False	RAS+		anat		0	1	False	2.0	1.0	i	3.2		False	1.0	0.9765629768371582	0.9765629768371582
				datatype-anat_run-02_suffix-angio_acquisition-VARIANTParallelReductionFactorInPlane2p0Dim3Size74__1	datatype-anat_run-02_suffix-angio_acquisition-VARIANTParallelReductionFactorInPlane2p0Dim3Size74	1									1	288	384	74	0.00366		1	18	False	RAS+		anat		0	1	False	2.0	0.75		0.022		False	0.5208330154418945	0.5208330154418945	1.0
				datatype-anat_run-02_suffix-angio_acquisition-VARIANTRepetitionTimeC1__1	datatype-anat_run-02_suffix-angio_acquisition-VARIANTRepetitionTimeC1	1									1	288	384	40	0.00366		1	18	False	RAS+		anat		0	1	False		0.75		0.034		False	0.5208330154418945	0.5208330154418945	1.0
				datatype-anat_run-02_suffix-minIP_acquisition-axialVARIANTParallelReductionFactorInPlane2p0VoxelSizeDim3C1__1	datatype-anat_run-02_suffix-minIP_acquisition-axialVARIANTParallelReductionFactorInPlane2p0VoxelSizeDim3C1	1									1	288	384	1	0.00366		1	18	False	LAS+		anat		0	1	False	2.0	0.75		0.022		False	0.5208330154418945	0.5208330154418945	34.0
				datatype-anat_run-02_suffix-minIP_acquisition-axialVARIANTRepetitionTimeC1__1	datatype-anat_run-02_suffix-minIP_acquisition-axialVARIANTRepetitionTimeC1	1									1	288	384	1	0.00366		1	18	False	LAS+		anat		0	1	False		0.75		0.034		False	0.5208330154418945	0.5208330154418945	40.0
				datatype-anat_run-02_suffix-minIP_acquisition-coronalVARIANTParallelReductionFactorInPlane2p0Dim2Size142VoxelSizeDim3C1__1	datatype-anat_run-02_suffix-minIP_acquisition-coronalVARIANTParallelReductionFactorInPlane2p0Dim2Size142VoxelSizeDim3C1	1									1	288	142	1	0.00366		1	18	False	LSP+		anat		0	1	False	2.0	0.75		0.022		False	0.5208330154418945	0.5208330154418945	34.0
				datatype-anat_run-02_suffix-minIP_acquisition-coronalVARIANTRepetitionTimeC1__1	datatype-anat_run-02_suffix-minIP_acquisition-coronalVARIANTRepetitionTimeC1	1									1	288	76	1	0.00366		1	18	False	LSP+		anat		0	1	False		0.75		0.034		False	0.5208330154418945	0.5208330154418945	200.0
				datatype-anat_run-02_suffix-minIP_acquisition-sagittalVARIANTParallelReductionFactorInPlane2p0Dim2Size142VoxelSizeDim3C1__1	datatype-anat_run-02_suffix-minIP_acquisition-sagittalVARIANTParallelReductionFactorInPlane2p0Dim2Size142VoxelSizeDim3C1	1									1	384	142	1	0.00366		1	18	False	PSR+		anat		0	1	False	2.0	0.75		0.022		False	0.5208330154418945	0.5208330154418945	34.0
				datatype-anat_run-02_suffix-minIP_acquisition-sagittalVARIANTRepetitionTimeC1__1	datatype-anat_run-02_suffix-minIP_acquisition-sagittalVARIANTRepetitionTimeC1	1									1	384	76	1	0.00366		1	18	False	PSR+		anat		0	1	False		0.75		0.034		False	0.5208330154418945	0.5208330154418945	150.0
				datatype-anat_run-03_suffix-angio__1	datatype-anat_run-03_suffix-angio	1									1	288	384	40	0.00366		1	18	False	RAS+		anat		0	1	False		0.75		0.022		False	0.5208333134651184	0.5208333134651184	1.0
				datatype-anat_run-03_suffix-minIP_acquisition-axial__1	datatype-anat_run-03_suffix-minIP_acquisition-axial	1									1	288	384	1	0.00366		1	18	False	LAS+		anat		0	1	False		0.75		0.022		False	0.5208333134651184	0.5208333134651184	40.0
				datatype-anat_run-03_suffix-minIP_acquisition-coronal__1	datatype-anat_run-03_suffix-minIP_acquisition-coronal	1									1	288	76	1	0.00366		1	18	False	LSP+		anat		0	1	False		0.75		0.022		False	0.5208333134651184	0.5208333134651184	200.0
				datatype-anat_run-03_suffix-minIP_acquisition-sagittal__1	datatype-anat_run-03_suffix-minIP_acquisition-sagittal	1									1	384	76	1	0.00366		1	18	False	PSR+		anat		0	1	False		0.75		0.022		False	0.5208333134651184	0.5208333134651184	150.0
				datatype-anat_suffix-T2w_acquisition-VARIANTDim1Size144__1	datatype-anat_suffix-T2w_acquisition-VARIANTDim1Size144	1									1	144	256	256	0.408		1	120	False	RAS+		anat		0	1	False	2.0	1.0	i	3.2		False	1.0	0.9765629768371582	0.9765629768371582
				datatype-anat_suffix-T2w_acquisition-VARIANTObliquityTrue__1	datatype-anat_suffix-T2w_acquisition-VARIANTObliquityTrue	1									1	176	256	256	0.408		1	120	False	RAS+		anat		0	1	True	2.0	1.0	i	3.2		False	1.0	0.9765629768371582	0.9765629768371582
				datatype-anat_suffix-angio_acquisition-VARIANTParallelReductionFactorInPlanenan__1	datatype-anat_suffix-angio_acquisition-VARIANTParallelReductionFactorInPlanenan	1									1	288	384	74	0.00366		1	18	False	RAS+		anat		0	1	False		0.75		0.022		False	0.5208330154418945	0.5208330154418945	1.0
				datatype-anat_suffix-angio_acquisition-VARIANTParallelReductionFactorInPlanenanRepetitionTimeC1Dim3Size40__1	datatype-anat_suffix-angio_acquisition-VARIANTParallelReductionFactorInPlanenanRepetitionTimeC1Dim3Size40	1									1	288	384	40	0.00366		1	18	False	RAS+		anat		0	1	False		0.75		0.024		False	0.5208330154418945	0.5208330154418945	1.0
				datatype-anat_suffix-angio_acquisition-VARIANTParallelReductionFactorInPlanenanRepetitionTimeC2Dim3Size40__1	datatype-anat_suffix-angio_acquisition-VARIANTParallelReductionFactorInPlanenanRepetitionTimeC2Dim3Size40	1									1	288	384	40	0.00366		1	18	False	RAS+		anat		0	1	False		0.75		0.023		False	0.5208330154418945	0.5208330154418945	1.0
				datatype-anat_suffix-minIP_acquisition-axialVARIANTParallelReductionFactorInPlanenan__1	datatype-anat_suffix-minIP_acquisition-axialVARIANTParallelReductionFactorInPlanenan	1									1	288	384	1	0.00366		1	18	False	LAS+		anat		0	1	False		0.75		0.022		False	0.5208330154418945	0.5208330154418945	34.0
				datatype-anat_suffix-minIP_acquisition-axialVARIANTParallelReductionFactorInPlanenanRepetitionTimeC1VoxelSizeDim3C1__1	datatype-anat_suffix-minIP_acquisition-axialVARIANTParallelReductionFactorInPlanenanRepetitionTimeC1VoxelSizeDim3C1	1									1	288	384	1	0.00366		1	18	False	LAS+		anat		0	1	False		0.75		0.024		False	0.5208330154418945	0.5208330154418945	40.0
				datatype-anat_suffix-minIP_acquisition-axialVARIANTParallelReductionFactorInPlanenanRepetitionTimeC2VoxelSizeDim3C1__1	datatype-anat_suffix-minIP_acquisition-axialVARIANTParallelReductionFactorInPlanenanRepetitionTimeC2VoxelSizeDim3C1	1									1	288	384	1	0.00366		1	18	False	LAS+		anat		0	1	False		0.75		0.023		False	0.5208330154418945	0.5208330154418945	40.0
				datatype-anat_suffix-minIP_acquisition-coronalVARIANTParallelReductionFactorInPlanenan__1	datatype-anat_suffix-minIP_acquisition-coronalVARIANTParallelReductionFactorInPlanenan	1									1	288	142	1	0.00366		1	18	False	LSP+		anat		0	1	False		0.75		0.022		False	0.5208330154418945	0.5208330154418945	34.0
				datatype-anat_suffix-minIP_acquisition-coronalVARIANTParallelReductionFactorInPlanenanRepetitionTimeC1Dim2Size76VoxelSizeDim3C1__1	datatype-anat_suffix-minIP_acquisition-coronalVARIANTParallelReductionFactorInPlanenanRepetitionTimeC1Dim2Size76VoxelSizeDim3C1	1									1	288	76	1	0.00366		1	18	False	LSP+		anat		0	1	False		0.75		0.024		False	0.5208330154418945	0.5208330154418945	200.0
				datatype-anat_suffix-minIP_acquisition-coronalVARIANTParallelReductionFactorInPlanenanRepetitionTimeC2Dim2Size76VoxelSizeDim3C1__1	datatype-anat_suffix-minIP_acquisition-coronalVARIANTParallelReductionFactorInPlanenanRepetitionTimeC2Dim2Size76VoxelSizeDim3C1	1									1	288	76	1	0.00366		1	18	False	LSP+		anat		0	1	False		0.75		0.023		False	0.5208330154418945	0.5208330154418945	200.0
				datatype-anat_suffix-minIP_acquisition-sagittalVARIANTParallelReductionFactorInPlanenan__1	datatype-anat_suffix-minIP_acquisition-sagittalVARIANTParallelReductionFactorInPlanenan	1									1	384	142	1	0.00366		1	18	False	PSR+		anat		0	1	False		0.75		0.022		False	0.5208330154418945	0.5208330154418945	34.0
				datatype-anat_suffix-minIP_acquisition-sagittalVARIANTParallelReductionFactorInPlanenanRepetitionTimeC1Dim2Size76VoxelSizeDim3C1__1	datatype-anat_suffix-minIP_acquisition-sagittalVARIANTParallelReductionFactorInPlanenanRepetitionTimeC1Dim2Size76VoxelSizeDim3C1	1									1	384	76	1	0.00366		1	18	False	PSR+		anat		0	1	False		0.75		0.024		False	0.5208330154418945	0.5208330154418945	150.0
				datatype-anat_suffix-minIP_acquisition-sagittalVARIANTParallelReductionFactorInPlanenanRepetitionTimeC2Dim2Size76VoxelSizeDim3C1__1	datatype-anat_suffix-minIP_acquisition-sagittalVARIANTParallelReductionFactorInPlanenanRepetitionTimeC2Dim2Size76VoxelSizeDim3C1	1									1	384	76	1	0.00366		1	18	False	PSR+		anat		0	1	False		0.75		0.023		False	0.5208330154418945	0.5208330154418945	150.0
				datatype-dwi_direction-AP_suffix-dwi_acquisition-multiband__1	datatype-dwi_direction-AP_suffix-dwi_acquisition-multiband	1		0.0	0.0	0.0	0.0	0.0	0.0	0.0	176	140	140	92	0.0828	0.00065997	176	78	True	LAS+		dwi	4.0	92	118	False		0.75	j-	3.027	0.0917359	False	1.5	1.5	1.5
				datatype-dwi_direction-AP_suffix-dwi_acquisition-multibandVARIANTObliquityTrue__1	datatype-dwi_direction-AP_suffix-dwi_acquisition-multibandVARIANTObliquityTrue	1									1	140	140	92	0.0828	0.00065997	1	78	True	LAS+		dwi	4.0	92	118	True		0.75	j-	3.027	0.0917359	False	1.5	1.5	1.5
				datatype-fmap_fmap-magnitude1_suffix-magnitude1__1	datatype-fmap_fmap-magnitude1_suffix-magnitude1	1		0.0		0.0		0.0	0.0	0.0	118	80	80	60	0.00412		229	45	False	LAS+		fmap		60	1	False		1.0	j-	0.58		True	3.0	3.0	3.0
			datatype-fmap_fmap-magnitude1_suffix-magnitude1_acquisition-VARIANTMultibandAccelerationFactor2p0	datatype-fmap_fmap-magnitude1_suffix-magnitude1__2	datatype-fmap_fmap-magnitude1_suffix-magnitude1	2		0.0		0.0		0.0	0.0	0.0	111	80	80	60	0.00412		229	45	False	LAS+		fmap	2.0	60	1	False		1.0	j-	0.58		True	3.0	3.0	3.0
				datatype-fmap_fmap-magnitude2_suffix-magnitude2__1	datatype-fmap_fmap-magnitude2_suffix-magnitude2	1		0.0		0.0		0.0	0.0	0.0	123	80	80	60	0.00658		229	45	False	LAS+		fmap	2.0	60	1	False		1.0	j-	0.58		True	3.0	3.0	3.0
			datatype-fmap_fmap-magnitude2_suffix-magnitude2_acquisition-VARIANTMultibandAccelerationFactornan	datatype-fmap_fmap-magnitude2_suffix-magnitude2__2	datatype-fmap_fmap-magnitude2_suffix-magnitude2	2		0.0		0.0		0.0	0.0	0.0	106	80	80	60	0.00658		229	45	False	LAS+		fmap		60	1	False		1.0	j-	0.58		True	3.0	3.0	3.0
				datatype-fmap_fmap-phasediff_suffix-phasediff__1	datatype-fmap_fmap-phasediff_suffix-phasediff	1		0.0		0.0		0.0	0.0	0.0	123	80	80	60	0.00658		229	45	False	LAS+		fmap	2.0	60	1	False		1.0	j-	0.58		True	3.0	3.0	3.0
			datatype-fmap_fmap-phasediff_suffix-phasediff_acquisition-VARIANTMultibandAccelerationFactornan	datatype-fmap_fmap-phasediff_suffix-phasediff__2	datatype-fmap_fmap-phasediff_suffix-phasediff	2		0.0		0.0		0.0	0.0	0.0	106	80	80	60	0.00658		229	45	False	LAS+		fmap		60	1	False		1.0	j-	0.58		True	3.0	3.0	3.0
				datatype-fmap_direction-PA_fmap-epi_suffix-epi_acquisition-multiband__1	datatype-fmap_direction-PA_fmap-epi_suffix-epi_acquisition-multiband	1		0.0	0.0	0.0	0.0	0.0	0.0	0.0	176	140	140	92	0.0828	0.00065997	178	78	False	LAS+		fmap	4.0	92	1	False		0.75	j	3.027	0.0917359	True	1.5	1.5	1.5
			datatype-fmap_direction-PA_fmap-epi_suffix-epi_acquisition-multibandVARIANTUnused	datatype-fmap_direction-PA_fmap-epi_suffix-epi_acquisition-multiband__2	datatype-fmap_direction-PA_fmap-epi_suffix-epi_acquisition-multiband	2		0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	140	140	92	0.0828	0.00065997	178	78	False	LAS+		fmap	4.0	92	1	False		0.75	j	3.027	0.0917359	False	1.5	1.5	1.5
			datatype-fmap_direction-PA_fmap-epi_suffix-epi_acquisition-multibandVARIANTObliquityTrue	datatype-fmap_direction-PA_fmap-epi_suffix-epi_acquisition-multiband__3	datatype-fmap_direction-PA_fmap-epi_suffix-epi_acquisition-multiband	3		0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	140	140	92	0.0828	0.00065997	178	78	False	LAS+		fmap	4.0	92	1	True		0.75	j	3.027	0.0917359	True	1.5	1.5	1.5
				datatype-fmap_fmap-magnitude1_run-01_suffix-magnitude1__1	datatype-fmap_fmap-magnitude1_run-01_suffix-magnitude1	1		0.0		0.0		0.0	0.0	0.0	2	80	80	60	0.00412		2	45	False	LAS+		fmap		60	1	False		1.0	j-	0.58		True	3.0	3.0	3.0
				datatype-fmap_fmap-magnitude1_run-02_suffix-magnitude1__1	datatype-fmap_fmap-magnitude1_run-02_suffix-magnitude1	1		0.0		0.0		0.0	0.0	0.0	2	80	80	60	0.00412		2	45	False	LAS+		fmap		60	1	False		1.0	j-	0.58		True	3.0	3.0	3.0
				datatype-fmap_fmap-magnitude2_run-01_suffix-magnitude2__1	datatype-fmap_fmap-magnitude2_run-01_suffix-magnitude2	1		0.0		0.0		0.0	0.0	0.0	2	80	80	60	0.00658		2	45	False	LAS+		fmap		60	1	False		1.0	j-	0.58		True	3.0	3.0	3.0
				datatype-fmap_fmap-magnitude2_run-02_suffix-magnitude2__1	datatype-fmap_fmap-magnitude2_run-02_suffix-magnitude2	1		0.0		0.0		0.0	0.0	0.0	2	80	80	60	0.00658		2	45	False	LAS+		fmap		60	1	False		1.0	j-	0.58		True	3.0	3.0	3.0
				datatype-fmap_fmap-phasediff_run-01_suffix-phasediff__1	datatype-fmap_fmap-phasediff_run-01_suffix-phasediff	1		0.0		0.0		0.0	0.0	0.0	2	80	80	60	0.00658		2	45	False	LAS+		fmap		60	1	False		1.0	j-	0.58		True	3.0	3.0	3.0
				datatype-fmap_fmap-phasediff_run-02_suffix-phasediff__1	datatype-fmap_fmap-phasediff_run-02_suffix-phasediff	1		0.0		0.0		0.0	0.0	0.0	2	80	80	60	0.00658		2	45	False	LAS+		fmap		60	1	False		1.0	j-	0.58		True	3.0	3.0	3.0
				datatype-func_suffix-bold_task-rest_acquisition-singleband__1	datatype-func_suffix-bold_task-rest_acquisition-singleband	1		0.0	0.0	0.0	0.0	0.0	0.0	0.0	210	64	64	46	0.032	0.000550002	210	30	True	LAS+		func		46	124	True		1.0	j-	3.0	0.0346501	False	3.0	3.0	3.0
				datatype-func_suffix-bold_task-rest_acquisition-multiband__1	datatype-func_suffix-bold_task-rest_acquisition-multiband	1		0.0	0.0	0.0	0.0	0.0	0.0	0.0	206	64	64	48	0.025	0.000599992	206	30	True	LAS+		func	6.0	48	1200	True		1.0	j-	0.5	0.0377995	False	3.0	3.0	3.0
				datatype-func_suffix-bold_task-fracback_acquisition-singleband__1	datatype-func_suffix-bold_task-fracback_acquisition-singleband	1		0.0	0.0	0.0	0.0	0.0	0.0	0.0	193	64	64	46	0.032	0.000550002	193	30	True	LAS+		func		46	231	True		1.0	j-	3.0	0.0346501	False	3.0	3.0	3.0
				datatype-func_suffix-bold_task-face_acquisition-singleband__1	datatype-func_suffix-bold_task-face_acquisition-singleband	1		0.0	0.0	0.0	0.0	0.0	0.0	0.0	46	64	64	32	0.025	0.000530002	46	30	True	LAS+		func		32	178	True		1.0	j-	2.0	0.0333901	False	3.4375	3.4375	3.4000000953674316
				datatype-func_suffix-bold_task-rest_acquisition-multibandVARIANTObliquityFalse__1	datatype-func_suffix-bold_task-rest_acquisition-multibandVARIANTObliquityFalse	1		0.0	0.0	0.0	0.0	0.0	0.0	0.0	19	64	64	48	0.025	0.000599992	19	30	True	LAS+		func	6.0	48	1200	False		1.0	j-	0.5	0.0377995	False	3.0	3.0	3.0
				datatype-func_suffix-bold_task-fracback_acquisition-singlebandVARIANTObliquityFalse__1	datatype-func_suffix-bold_task-fracback_acquisition-singlebandVARIANTObliquityFalse	1		0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	64	64	46	0.032	0.000550002	5	30	True	LAS+		func		46	231	False		1.0	j-	3.0	0.0346501	False	3.0	3.0	3.0
				datatype-func_suffix-bold_task-rest_acquisition-singlebandVARIANTObliquityFalse__1	datatype-func_suffix-bold_task-rest_acquisition-singlebandVARIANTObliquityFalse	1		0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	64	64	46	0.032	0.000550002	5	30	True	LAS+		func		46	124	False		1.0	j-	3.0	0.0346501	False	3.0	3.0	3.0
